# Expression Atlas version: 3.5
# Query: Genes matching: default query, specifically up/down differentially expressed in 2 comparisons  given the p-value cutoff 1 and log2-fold change cutoff 0 in experiment E-MTAB-4152
# Timestamp: Sun, 23-Jul-2017 11:46:47
Gene ID	Gene Name	Design Element	'osteoblasts in direct co-culture with human umbilical vein endothelial cells' vs 'osteoblasts in monoculture'.foldChange	'osteoblasts in direct co-culture with human umbilical vein endothelial cells' vs 'osteoblasts in monoculture'.pValue	'osteoblasts in direct co-culture with human umbilical vein endothelial cells' vs 'osteoblasts in monoculture'.tStat	'osteoblasts in indirect co-culture with human umbilical vein endothelial cells' vs 'osteoblasts in monoculture'.foldChange	'osteoblasts in indirect co-culture with human umbilical vein endothelial cells' vs 'osteoblasts in monoculture'.pValue	'osteoblasts in indirect co-culture with human umbilical vein endothelial cells' vs 'osteoblasts in monoculture'.tStat
ENSG00000000003	TSPAN6	8173941				-0.3	0.0386917336399469	-3.88940566240114
ENSG00000000419	DPM1	8067017	0.1	0.274408436761802	1.62339012091896	0.2	0.161749027473166	2.22160729500376
ENSG00000000457	SCYL3	7922250	-0.4	0.00381249050066532	-6.97090507090862			
ENSG00000000460	C1orf112	7907183	-0.1	0.330243364323595	-1.42241396830072	0.2	0.119556315293227	2.53941044319381
ENSG00000000971	CFH	7908459	-0.8	9.34224408861593E-4	-9.94458652414287			
ENSG00000001036	FUCA2	8129974				-0.1	0.188690524318871	-2.06527155831565
ENSG00000001084	GCLC	8127158	-0.5	0.0211643071944932	-4.40674844074219			
ENSG00000001460	STPG1	7913787				-0.4	0.0129208922105173	-5.85155053529697
ENSG00000001461	NIPAL3	7898939	-0.2	0.031370786365277	-3.92602801980066	-0.3	0.0410403849989765	-3.79888869152723
ENSG00000001617	SEMA3F	8079896	-0.5	0.00243673622923744	-7.80266153231801	-0.2	0.0339753173059067	-4.08728521721103
ENSG00000001626	CFTR	8135661				-0.1	0.687182024163608	-0.650063556191901
ENSG00000001630	CYP51A1	8140864	0.3	0.251897223014758	1.71090872383141	0.2	0.479387456772921	1.09084109588855
ENSG00000001631	KRIT1	8140878				0.2	0.0564880123483155	3.39024730171014
ENSG00000002079	MYH16	8134564				-0.1	0.679191097402919	-0.666170662164392
ENSG00000002330	BAD	7949067	-0.3	0.0272588313347474	-4.09463997995744	-0.3	0.040665014104165	-3.81089334470154
ENSG00000002586	CD99	8165794	-0.2	0.0153518282808968	-4.82520791994802	-0.2	0.037528897028048	-3.92799724281072
ENSG00000002586	CD99	8176360	-0.2	0.0153518282808968	-4.82520791994802	-0.2	0.037528897028048	-3.92799724281072
ENSG00000002726	AOC1	8137271				-0.1	0.519328916802997	-1.00182968567713
ENSG00000002746	HECW1	8132465	-0.2	0.0482566003020856	-3.44610390148558			
ENSG00000003096	KLHL13	8174654	-0.9	0.00107931803181818	-9.59502355371998	-0.3	0.0188719433167687	-5.08484951106813
ENSG00000003137	CYP26B1	8052947	0.4	0.003681390670953	7.03360242119601	1.5	0.0034662550114903	9.43461597435496
